1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.324352	0.000000	7.104814	0.021391	73.7
1	-0.304078	0.000000	7.104814	0.019245	2.1
2	-0.302754	0.999999	6.781868	0.020397	2.1
3	-0.297923	1.959624	6.498412	0.015780	2.2
4	-0.341586	2.951347	6.229340	0.018452	2.3
5	-0.320518	2.076729	6.465435	0.015334	2.5
6	-0.296737	1.176937	6.727759	0.019200	1.8
7	-0.304172	0.277145	7.012270	0.013587	2.2
8	-0.323846	1.026239	6.773789	0.015605	2.3
9	-0.304856	2.023679	6.480332	0.023160	2.5
10	-0.315851	1.123887	6.743892	0.027320	2.3
11	-0.323020	0.224094	7.029798	0.020609	2.3
12	-0.326457	0.000000	7.104814	0.016575	2.4
13	-0.306819	0.000000	7.104814	0.016520	2.3
14	-0.306227	0.000000	7.104814	0.019976	2.4
15	-0.335729	0.000000	7.104814	0.015408	2.4
16	-0.304306	0.999452	6.782037	0.015180	2.4
17	-0.299097	0.100962	7.070819	0.024915	2.4
18	-0.303844	0.000000	7.104814	0.022102	2.4
19	-0.346920	0.000000	7.104814	0.014642	2.9
20	-0.310311	0.000000	7.104814	0.014671	2.1
21	-0.329157	0.000000	7.104814	0.015525	2.3
22	-0.308971	0.000000	7.104814	0.017479	2.2
23	-0.315014	0.000000	7.104814	0.016533	2.4
24	-0.308673	1.000000	6.781868	0.016031	1.6
25	-0.315359	1.989489	6.489970	0.015098	2.3
26	-0.300650	2.989487	6.219437	0.020646	2.3
27	-0.313035	2.123258	6.452425	0.012371	2.7
28	-0.310502	1.223771	6.713581	0.010378	2.1
29	-0.298849	2.182536	6.435926	0.016519	2.0
30	-0.323100	3.181058	6.170164	0.015874	3.2
31	-0.311006	4.180769	5.925200	0.014531	2.0
32	-0.311475	3.281436	6.144657	0.018004	2.3
33	-0.314915	4.281433	5.901607	0.021956	2.3
34	-0.338667	3.381641	6.119403	0.019558	2.7
35	-0.325852	4.381641	5.878308	0.021715	2.3
36	-0.325796	5.381640	5.655490	0.018424	2.2
37	-0.327462	6.366086	5.452044	0.018857	2.0
38	-0.337379	6.406449	5.444014	0.028536	2.3
39	-0.322793	5.506656	5.628816	0.013060	2.1
40	-0.320768	4.606865	5.826605	0.018981	2.0
41	-0.342671	3.776259	6.021938	0.017322	2.7
42	-0.326051	4.776230	5.788321	0.021186	2.7
43	-0.291583	5.755151	5.576537	0.015592	2.2
44	-0.319031	5.747819	5.578066	0.012540	2.1
45	-0.326374	4.848158	5.772214	0.016731	2.1
46	-0.344727	5.682940	5.591629	0.014611	2.7
47	-0.325994	4.852783	5.771181	0.016243	2.2
48	-0.315537	3.955261	5.978743	0.019471	2.2
49	-0.339710	4.954665	5.748527	0.023165	2.2
50	-0.321084	4.054873	5.954973	0.025587	2.8
51	-0.316315	5.053953	5.726620	0.020015	2.1
52	-0.317104	6.053893	5.514958	0.019659	2.1
53	-0.313512	7.053893	5.318374	0.016243	2.8
54	-0.322088	6.249836	5.475302	0.015132	2.0
55	-0.296656	7.249835	5.281485	0.016605	2.1
56	-0.317182	8.249693	5.100946	0.017860	2.2
57	-0.302165	9.249424	4.932361	0.017948	2.4
58	-0.310099	8.368847	5.080250	0.011208	2.2
59	-0.307071	7.470768	5.240501	0.018187	1.4
60	-0.322282	6.583975	5.408977	0.022706	2.2
61	-0.297511	6.011642	5.523585	0.014060	2.1
62	-0.310649	7.011642	5.326396	0.027278	2.0
63	-0.310364	8.009755	5.143135	0.013958	1.9
64	-0.304452	7.110003	5.307758	0.021774	1.8
65	-0.332174	8.109023	5.125596	0.018092	1.9
66	-0.295680	7.210584	5.288834	0.010842	2.5
67	-0.302805	6.704038	5.385536	0.013363	2.0
68	-0.319677	5.804255	5.566321	0.017015	1.9
69	-0.316537	4.905063	5.759534	0.020978	1.5
70	-0.320959	5.905063	5.545465	0.009721	2.1
71	-0.318521	5.005271	5.737340	0.022574	1.8
72	-0.323388	6.005266	5.524889	0.019310	2.1
73	-0.335276	5.105475	5.715318	0.016946	2.0
74	-0.327476	6.104876	5.504585	0.010518	2.4
75	-0.299274	6.285507	5.468144	0.017841	1.5
76	-0.324623	7.276148	5.276571	0.015749	2.3
77	-0.323528	8.271994	5.097059	0.014503	2.4
78	-0.315401	7.372627	5.258628	0.022914	2.3
79	-0.312496	8.372627	5.079597	0.012354	2.2
80	-0.318694	7.658972	5.206087	0.016108	2.1
81	-0.330952	8.656409	5.030990	0.013320	2.1
82	-0.325609	7.756825	5.188371	0.014437	2.4
83	-0.327763	6.893060	5.349040	0.017911	1.8
84	-0.325759	6.311163	5.463008	0.022168	1.9
85	-0.315732	7.311162	5.270045	0.018992	1.8
86	-0.323183	8.305185	5.091287	0.024240	2.1
87	-0.322681	9.305185	4.923286	0.019963	1.8
88	-0.317762	10.305183	4.766019	0.016201	2.0
89	-0.308445	9.405391	4.907061	0.019765	1.8
90	-0.327296	8.505598	5.056705	0.015530	2.2
91	-0.315809	7.789305	5.182518	0.015852	2.3
92	-0.337872	6.889541	5.349715	0.018732	1.8
93	-0.325021	7.889541	5.164537	0.016928	2.0
94	-0.342891	6.989748	5.330562	0.017928	1.9
95	-0.294926	6.090856	5.507434	0.023440	2.8
96	-0.316296	5.191063	5.696641	0.021902	1.9
97	-0.333393	4.291390	5.899284	0.022093	1.9
98	-0.320383	3.391597	6.116905	0.021720	2.0
99	-0.330389	2.491805	6.351197	0.016565	2.3
100	-0.343407	2.458780	6.360139	0.016747	2.0
101	-0.326572	1.558989	6.613820	0.013021	1.8
102	-0.306026	2.421927	6.370146	0.015233	1.8
103	-0.305793	1.924498	6.508369	0.015564	2.1
104	-0.340718	1.024706	6.774260	0.014639	1.9
105	-0.326222	1.964199	6.497117	0.012028	1.8
106	-0.320418	2.341688	6.392044	0.016921	2.0
107	-0.338148	3.229850	6.157739	0.018146	1.8
108	-0.326326	4.229850	5.913673	0.028129	2.6
109	-0.336482	3.330058	6.132377	0.019359	1.9
110	-0.316988	2.430510	6.367812	0.016507	1.9
111	-0.305020	1.532078	6.621719	0.014054	2.0
112	-0.309370	2.532044	6.340337	0.016357	2.3
113	-0.327087	2.887090	6.246098	0.011909	1.8
114	-0.313369	3.886072	5.995365	0.019848	1.9
115	-0.330093	4.842114	5.773564	0.016939	1.8
116	-0.322591	3.942956	5.981692	0.022732	1.9
117	-0.326934	3.043164	6.205552	0.014838	2.2
118	-0.314772	4.012898	5.964966	0.016327	1.9
119	-0.313357	5.012898	5.735658	0.017854	1.8
120	-0.345960	5.986105	5.528812	0.016121	1.8
121	-0.301679	5.086313	5.719516	0.023761	1.9
122	-0.339338	4.187030	5.923727	0.013157	2.5
123	-0.342685	3.287241	6.143188	0.014886	1.9
124	-0.320483	4.287189	5.900264	0.018095	2.0
125	-0.317721	5.277938	5.677808	0.016563	2.2
126	-0.323610	5.450209	5.640829	0.015095	2.3
127	-0.297347	6.450208	5.435335	0.022594	1.9
128	-0.287791	7.450206	5.244289	0.012080	1.8
129	-0.318121	6.553995	5.414862	0.016075	2.3
130	-0.324058	5.654482	5.597599	0.017392	1.8
131	-0.327087	5.141362	5.707472	0.036002	1.9
132	-0.320402	6.141362	5.497185	0.020085	1.8
133	-0.319975	5.241570	5.685677	0.011542	1.8
134	-0.322604	6.230651	5.479160	0.016262	2.1
135	-0.313964	5.347115	5.662901	0.019362	1.9
136	-0.328768	6.347100	5.455829	0.017702	2.0
137	-0.313681	5.447307	5.641447	0.015311	1.9
138	-0.318519	6.401854	5.444927	0.031989	2.4
139	-0.330942	7.401854	5.253217	0.020864	2.0
140	-0.327296	6.502185	5.425063	0.010849	2.0
141	-0.309945	5.602525	5.608531	0.021720	2.0
142	-0.326680	4.718916	5.801220	0.023585	2.2
143	-0.328455	3.819124	6.011537	0.016280	1.8
144	-0.328042	2.919337	6.237677	0.025872	2.0
145	-0.338114	2.019545	6.481496	0.024755	1.9
146	-0.314697	3.016397	6.212468	0.019347	1.8
147	-0.301771	4.007267	5.966309	0.011757	2.5
148	-0.348633	4.655957	5.815456	0.015589	2.0
149	-0.319211	4.329908	5.890313	0.015230	1.9
150	-0.324202	5.324358	5.667796	0.020396	1.8
151	-0.312910	5.814477	5.564199	0.012816	2.4
152	-0.327747	6.806180	5.365753	0.024020	2.0
153	-0.324396	7.806180	5.179482	0.014484	1.8
154	-0.313727	8.806176	5.005711	0.012146	1.8
155	-0.332235	7.907207	5.161380	0.011822	2.1
156	-0.311520	8.906317	4.988949	0.011582	2.7
157	-0.315358	9.642727	4.869054	0.016329	2.2
158	-0.338671	9.388898	4.909724	0.017285	1.9
159	-0.334210	8.497303	5.058127	0.017487	1.9
160	-0.331810	7.600017	5.216818	0.016600	2.4
161	-0.330444	8.215537	5.106909	0.028160	1.8
162	-0.320236	7.315745	5.269192	0.020123	1.9
163	-0.351611	6.758813	5.374909	0.025016	2.1
164	-0.322169	7.758813	5.188013	0.022751	2.4
165	-0.337504	8.758813	5.013678	0.018208	1.9
166	-0.317952	9.758721	4.850692	0.020932	1.9
167	-0.327435	10.757358	4.698158	0.019113	2.0
168	-0.320364	9.857577	4.835153	0.017755	3.4
169	-0.339495	8.958324	4.980288	0.009229	2.0
170	-0.322715	9.957929	4.819479	0.018940	2.1
171	-0.307270	9.066546	4.962362	0.018574	2.0
172	-0.334268	10.066505	4.802635	0.016695	2.7
173	-0.342993	9.167268	4.945794	0.019076	2.1
174	-0.303933	8.267476	5.097846	0.023282	2.4
175	-0.317261	7.367683	5.259545	0.016578	2.1
176	-0.325427	8.367651	5.080457	0.016242	2.6
