1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.317647	0.000000	560.158719	0.006801	1588.6
1	-0.330744	0.000000	560.158719	0.008602	2.8
2	-0.298017	1.000000	534.696959	0.006718	3.2
3	-0.316866	2.000000	511.449265	0.006950	2.8
4	-0.307959	2.995730	490.226105	0.004892	3.3
5	-0.314371	2.024554	510.903843	0.007699	2.5
6	-0.314899	1.689077	518.457972	0.008201	2.5
7	-0.311797	0.717998	541.639846	0.008142	2.5
8	-0.314699	0.000000	560.158719	0.006792	2.7
9	-0.331369	0.000000	560.158719	0.007277	2.7
10	-0.316668	0.000000	560.158719	0.008440	2.8
11	-0.325017	0.000000	560.158719	0.006768	2.9
12	-0.337772	0.999869	534.700142	0.006306	2.4
13	-0.335371	1.999869	511.452178	0.006263	2.5
14	-0.338734	1.031065	533.943014	0.006664	3.0
15	-0.323148	2.031062	510.759473	0.006720	2.4
16	-0.322317	3.029060	489.546112	0.005835	2.5
17	-0.324700	2.069654	509.905056	0.006669	2.4
18	-0.318386	1.098480	532.314128	0.006227	3.5
19	-0.311298	2.080475	509.665996	0.006257	2.7
20	-0.329753	3.080475	488.500881	0.006765	3.4
21	-0.315037	2.109493	509.026024	0.006455	3.2
22	-0.323226	1.138317	531.356254	0.005783	2.4
23	-0.280503	0.167141	555.735561	0.004858	2.5
24	-0.309267	1.167141	530.665321	0.005818	2.6
25	-0.334781	2.167141	507.759376	0.005598	2.5
26	-0.335422	2.658004	497.224248	0.005051	2.3
27	-0.331987	1.688557	518.469861	0.007181	2.4
28	-0.332300	1.214291	529.538986	0.006700	3.7
29	-0.302380	0.243115	553.748026	0.005286	3.5
30	-0.320255	0.000000	560.158719	0.006219	3.0
31	-0.320952	0.000000	560.158719	0.006503	3.2
32	-0.326701	0.999929	534.698689	0.005770	3.3
33	-0.328451	1.997505	511.504753	0.007580	3.1
34	-0.335026	1.026329	534.057808	0.007017	2.5
35	-0.331817	2.026329	510.864454	0.006761	3.0
36	-0.298064	1.056360	533.330668	0.005914	2.2
37	-0.312458	2.056360	510.199061	0.005945	2.3
38	-0.312547	3.056360	488.990571	0.006269	2.2
39	-0.326158	4.043539	469.715282	0.005206	3.0
40	-0.340663	5.043351	451.682775	0.006092	2.2
41	-0.322843	4.812287	455.726114	0.005794	2.4
42	-0.330254	5.788112	439.125128	0.006735	2.2
43	-0.303194	6.084462	434.320347	0.005914	3.0
44	-0.318297	7.084462	418.855556	0.006127	2.2
45	-0.329610	6.113295	433.858480	0.006374	2.3
46	-0.331461	7.113295	418.425978	0.006141	2.4
47	-0.310283	8.113295	404.053652	0.006385	3.1
48	-0.324263	9.113295	390.635869	0.006824	2.2
49	-0.324165	8.142119	403.654006	0.005453	2.3
50	-0.333846	8.427898	399.734053	0.007703	2.2
51	-0.316184	9.427875	386.597256	0.006408	3.0
52	-0.338407	8.464207	399.241463	0.007146	2.2
53	-0.325496	9.464207	386.136199	0.006002	2.2
54	-0.322704	10.463914	373.867449	0.005398	2.5
55	-0.334712	9.533596	385.258685	0.007578	2.8
56	-0.320048	10.533596	373.041281	0.005662	2.2
57	-0.358541	11.533596	361.574941	0.005953	2.3
58	-0.338120	12.444766	351.724188	0.005766	2.4
59	-0.308720	13.444766	341.512937	0.005713	2.8
60	-0.333519	14.444738	331.878125	0.007621	2.4
61	-0.328975	15.444738	322.771786	0.005971	2.2
62	-0.344045	14.473562	331.608455	0.006685	2.3
63	-0.318702	13.502386	340.942595	0.007278	2.8
64	-0.309384	14.502386	331.339224	0.006872	2.3
65	-0.351532	15.502386	322.262030	0.005946	2.2
66	-0.325777	16.502092	313.671388	0.006443	2.2
67	-0.331645	15.530916	322.010353	0.006666	2.7
68	-0.331963	14.559991	330.802478	0.005788	2.3
69	-0.346685	13.588815	340.090663	0.006372	2.2
70	-0.310426	14.588815	330.534552	0.006148	2.2
71	-0.329950	15.588815	321.500795	0.006991	2.5
72	-0.303802	16.587112	312.961872	0.006924	2.2
73	-0.310019	17.587112	304.851344	0.006750	2.3
74	-0.339334	16.615937	312.722056	0.005957	2.2
75	-0.322036	17.611192	304.661222	0.007511	3.4
76	-0.313213	18.611192	296.969931	0.007113	2.2
77	-0.335325	17.640017	304.433955	0.007226	2.4
78	-0.331765	16.668841	312.282852	0.005913	2.3
79	-0.304308	17.668831	304.207106	0.006717	2.8
80	-0.322468	16.698324	312.038626	0.006517	2.3
81	-0.345392	17.698323	303.975268	0.006292	2.5
82	-0.305654	16.727147	311.800227	0.005327	2.4
83	-0.321309	15.756017	320.038301	0.006582	3.0
84	-0.308167	14.785078	328.721741	0.005286	2.4
85	-0.322173	13.813902	337.891829	0.006500	2.4
86	-0.322420	14.813902	328.457173	0.006053	2.9
87	-0.343827	15.813902	319.535081	0.006252	2.3
88	-0.330631	14.842726	328.193036	0.005466	2.5
89	-0.298650	15.840384	319.305387	0.007079	2.3
90	-0.325074	15.462015	322.618846	0.006433	3.5
91	-0.350442	16.462015	314.006953	0.006999	2.4
92	-0.319544	17.461500	305.846966	0.007878	2.3
93	-0.337486	18.455121	298.144646	0.006217	2.4
94	-0.326711	19.454832	290.776962	0.007848	3.9
95	-0.333942	18.483657	297.929170	0.006497	2.4
96	-0.329932	19.483650	290.569973	0.007724	2.2
97	-0.359150	20.480743	283.585403	0.006833	2.4
98	-0.305491	20.944185	280.452058	0.006683	2.3
99	-0.316623	19.973018	287.099504	0.006881	2.2
100	-0.312748	19.001883	294.069483	0.005270	2.4
101	-0.344100	18.030707	301.386623	0.005395	2.3
102	-0.314165	19.030677	293.857958	0.005914	2.8
103	-0.336355	20.030586	286.696690	0.007231	2.5
104	-0.316507	19.903337	287.588591	0.006554	2.5
105	-0.335560	20.102228	286.196967	0.007624	3.0
