1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.321549	0.000000	0.437955	0.103606	4167.7
1	-0.283452	0.000000	0.437955	0.098724	2.5
2	-0.296419	1.000000	0.418048	0.110930	2.9
3	-0.295021	0.027652	0.437379	0.111907	2.0
4	-0.293983	0.868837	0.420555	0.074323	2.0
5	-0.270811	1.768040	0.403946	0.118875	2.2
6	-0.272292	2.768040	0.386950	0.085571	2.1
7	-0.271286	1.791350	0.403532	0.103175	1.7
8	-0.270196	0.808250	0.421723	0.089789	1.8
9	-0.289452	0.000000	0.437955	0.115711	2.0
10	-0.313659	1.000000	0.418048	0.068103	2.6
11	-0.287384	0.017888	0.437582	0.111515	1.4
12	-0.293872	0.000000	0.437955	0.071133	2.0
13	-0.281085	0.000000	0.437955	0.097516	2.9
14	-0.290662	0.999733	0.418053	0.078067	2.0
15	-0.303064	0.016633	0.437608	0.083864	1.8
16	-0.287419	1.016608	0.417732	0.103398	2.0
17	-0.273944	0.308297	0.431618	0.035676	2.1
18	-0.295576	1.307889	0.412278	0.152772	1.9
19	-0.269960	2.304120	0.394653	0.076678	2.0
20	-0.281477	3.300484	0.378472	0.140581	1.9
21	-0.263626	2.952869	0.383964	0.058125	1.9
22	-0.288073	3.952868	0.368577	0.105813	2.3
23	-0.265468	2.974094	0.383624	0.063773	1.9
24	-0.291881	3.974094	0.368264	0.051444	2.0
25	-0.276407	4.944523	0.354489	0.054410	2.0
26	-0.296854	3.963311	0.368423	0.083442	2.1
27	-0.269836	2.980214	0.383527	0.079077	1.7
28	-0.266783	1.997114	0.399922	0.119315	1.8
29	-0.300053	1.014014	0.417782	0.075626	1.6
30	-0.293888	0.177034	0.434293	0.071134	2.0
31	-0.281683	0.000000	0.437955	0.100887	2.2
32	-0.288079	1.000000	0.418048	0.103580	1.6
33	-0.265925	1.999500	0.399880	0.061437	1.7
34	-0.266216	2.909386	0.384663	0.104967	2.1
35	-0.282946	1.926314	0.401157	0.043694	2.2
36	-0.282342	0.952376	0.418955	0.092516	2.0
37	-0.281762	0.000000	0.437955	0.078526	1.5
38	-0.288389	0.000000	0.437955	0.056226	1.9
39	-0.268381	0.000000	0.437955	0.057558	2.0
40	-0.291252	0.000000	0.437955	0.100588	1.7
41	-0.288857	0.000000	0.437955	0.055889	2.0
