1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.378777	0.000000	9.241718	0.023331	63.6
1	-0.398416	0.000000	9.241718	0.027173	1.9
2	-0.359992	0.000000	9.241718	0.018827	1.7
3	-0.437905	0.000000	9.241718	0.024330	2.4
4	-0.380409	0.000000	9.241718	0.013626	2.5
5	-0.389747	0.000000	9.241718	0.018781	1.9
6	-0.391532	0.000000	9.241718	0.021549	2.1
7	-0.369631	0.000000	9.241718	0.025944	1.8
8	-0.396321	1.000000	8.821640	0.014914	3.1
9	-0.425048	1.967036	8.450201	0.017818	2.4
10	-0.411897	1.269200	8.715000	0.017020	2.5
11	-0.424377	0.518253	9.019137	0.026667	1.9
12	-0.407021	0.043096	9.222791	0.015726	2.3
13	-0.425522	0.899948	8.861942	0.025712	2.5
14	-0.405064	0.149127	9.176553	0.025996	2.4
15	-0.404414	0.000000	9.241718	0.014426	2.2
16	-0.392395	0.997802	8.822522	0.020385	1.5
17	-0.411726	1.997796	8.438899	0.017604	1.8
18	-0.351839	2.252102	8.346604	0.018292	2.3
19	-0.403421	1.501175	8.625153	0.017470	2.2
20	-0.412507	0.750255	8.922934	0.019523	2.0
21	-0.401943	0.000000	9.241718	0.019613	2.1
22	-0.416667	0.000000	9.241718	0.014244	2.7
23	-0.400693	0.000000	9.241718	0.020546	2.1
24	-0.415845	0.000000	9.241718	0.024995	2.0
25	-0.411264	0.000000	9.241718	0.017770	1.9
26	-0.395090	0.000000	9.241718	0.026756	2.7
27	-0.406209	0.999962	8.821655	0.020429	1.9
28	-0.402453	0.249005	9.133420	0.022788	1.9
29	-0.431973	0.000000	9.241718	0.015495	2.0
30	-0.408804	0.000000	9.241718	0.025029	2.1
31	-0.408853	0.000000	9.241718	0.022978	2.0
32	-0.403199	1.000000	8.821640	0.021914	2.3
33	-0.393225	0.249042	9.133404	0.022187	1.8
34	-0.417508	0.000000	9.241718	0.026008	2.1
35	-0.431276	0.000000	9.241718	0.022682	2.0
36	-0.415499	0.000000	9.241718	0.015820	2.0
37	-0.417041	0.000000	9.241718	0.016732	2.0
38	-0.420285	0.894614	8.864102	0.032088	2.3
39	-0.428765	0.270522	9.124180	0.020872	2.1
40	-0.416531	0.000000	9.241718	0.028563	1.6
41	-0.453239	0.000000	9.241718	0.018732	1.6
42	-0.411744	0.000000	9.241718	0.025429	1.6
43	-0.439876	0.000000	9.241718	0.011031	1.9
44	-0.407328	0.352934	9.088965	0.022205	2.1
45	-0.447696	0.000000	9.241718	0.017340	1.8
46	-0.459740	0.443060	9.050764	0.023605	2.1
47	-0.433540	0.000000	9.241718	0.022409	1.8
48	-0.466402	0.000000	9.241718	0.020548	2.3
49	-0.420594	0.000000	9.241718	0.035396	1.7
50	-0.437852	0.999936	8.821666	0.016772	1.6
51	-0.434942	0.248978	9.133431	0.020982	1.6
52	-0.425214	1.247532	8.723488	0.020811	1.9
53	-0.443743	0.496574	9.028233	0.019504	2.9
54	-0.461553	1.252030	8.721725	0.026879	1.9
55	-0.436127	0.501350	9.026227	0.022745	1.8
56	-0.436809	0.000000	9.241718	0.020618	2.9
57	-0.467718	0.000000	9.241718	0.020456	2.6
58	-0.424112	0.858521	8.878738	0.021645	1.9
59	-0.473164	1.858521	8.490317	0.022657	2.1
60	-0.425077	2.858521	8.134456	0.019155	1.8
61	-0.454396	3.858521	7.807226	0.013898	2.7
62	-0.439012	4.384157	7.645559	0.028845	1.7
63	-0.466636	3.633199	7.878639	0.013664	1.8
64	-0.455351	2.882241	8.126376	0.020827	1.6
65	-0.427142	2.140194	8.386968	0.027851	1.9
66	-0.465237	1.389236	8.668276	0.016521	2.1
67	-0.466603	0.671131	8.955512	0.021178	2.0
68	-0.434235	1.671131	8.560494	0.017463	1.8
69	-0.465103	1.539933	8.610322	0.020288	3.2
70	-0.442455	2.539017	8.244868	0.016454	1.8
71	-0.457003	1.788100	8.516554	0.034188	2.0
72	-0.477856	1.573344	8.597578	0.032550	2.1
73	-0.430115	2.573206	8.232910	0.025118	2.0
74	-0.445029	1.822248	8.503811	0.026659	1.8
75	-0.439711	1.071290	8.793146	0.024408	1.7
76	-0.452678	0.324044	9.101279	0.023033	1.6
77	-0.478183	0.000000	9.241718	0.025780	1.6
78	-0.445288	0.000000	9.241718	0.022171	2.2
79	-0.459128	0.000000	9.241718	0.019363	2.0
80	-0.464228	0.039123	9.224533	0.016209	1.6
81	-0.438305	1.039048	8.806010	0.017110	2.1
82	-0.483158	1.936534	8.461439	0.018099	1.8
83	-0.479059	1.185605	8.747838	0.024309	1.8
84	-0.434223	0.434647	9.054317	0.022413	1.6
85	-0.493834	1.434647	8.650730	0.030811	1.7
86	-0.445927	0.683696	8.950323	0.022088	1.7
87	-0.481601	0.000000	9.241718	0.020999	1.8
88	-0.491049	0.000000	9.241718	0.020308	2.1
89	-0.454925	0.133600	9.183295	0.018929	1.7
90	-0.469924	1.133544	8.768414	0.020863	1.6
91	-0.455024	2.121238	8.393845	0.027787	1.3
92	-0.454170	1.370280	8.675621	0.013868	2.0
93	-0.469894	0.619333	8.976969	0.020875	1.9
94	-0.493657	0.000000	9.241718	0.021227	1.9
95	-0.467689	0.000000	9.241718	0.019108	2.0
96	-0.477582	0.000000	9.241718	0.024163	1.8
97	-0.437526	0.000000	9.241718	0.014384	1.9
98	-0.462969	0.999973	8.821651	0.023754	2.1
99	-0.495604	0.249043	9.133403	0.019352	1.9
100	-0.475897	1.249043	8.722896	0.024472	2.0
101	-0.457527	2.237407	8.351882	0.026014	2.7
102	-0.461142	3.234987	8.008095	0.019689	1.9
103	-0.472925	3.124684	8.044710	0.024558	1.9
104	-0.485246	4.025027	7.755280	0.021330	2.1
105	-0.478560	3.275445	7.994749	0.024309	2.1
106	-0.461650	2.524488	8.249960	0.019094	2.0
107	-0.505793	1.773530	8.522003	0.017141	1.8
108	-0.465400	1.022572	8.812598	0.019587	1.6
109	-0.473703	2.021279	8.430291	0.025427	2.0
110	-0.487477	3.011001	8.082798	0.021217	1.7
111	-0.466368	2.260043	8.343754	0.028119	1.7
112	-0.485051	1.510279	8.621665	0.019122	1.6
113	-0.477143	0.759421	8.919175	0.027098	1.6
114	-0.467558	1.675251	8.558939	0.029291	1.8
115	-0.476878	0.924295	8.852101	0.023525	3.4
116	-0.523880	0.173337	9.166060	0.017042	1.7
117	-0.496566	0.000000	9.241718	0.025893	1.6
118	-0.476727	0.997149	8.822784	0.022356	1.7
119	-0.483712	0.246191	9.134630	0.016727	2.1
120	-0.507158	1.021340	8.813091	0.025086	1.8
121	-0.470560	0.270397	9.124234	0.019136	1.7
122	-0.475585	1.270397	8.714532	0.023389	1.7
123	-0.493715	0.521516	9.017770	0.024378	1.6
124	-0.508305	0.000000	9.241718	0.024028	2.6
125	-0.495741	0.000000	9.241718	0.019178	2.0
126	-0.508955	0.000000	9.241718	0.021905	1.8
127	-0.465412	0.000000	9.241718	0.021799	2.0
128	-0.490241	0.997176	8.822773	0.033437	2.0
129	-0.507332	1.997176	8.439127	0.026277	2.0
130	-0.458640	1.391436	8.667424	0.020516	2.1
131	-0.484639	1.435954	8.650226	0.022116	1.9
132	-0.489017	2.296075	8.330849	0.030440	2.4
133	-0.484297	3.296075	7.987960	0.018027	2.6
134	-0.491170	4.296075	7.672182	0.020573	1.9
135	-0.509533	3.848955	7.810231	0.017491	2.0
136	-0.506321	4.848893	7.508100	0.016509	1.9
137	-0.502454	5.816755	7.237120	0.025796	2.0
138	-0.489910	5.065797	7.445622	0.023803	2.6
139	-0.514509	4.314870	7.666485	0.014871	2.4
140	-0.485304	3.563913	7.900862	0.023329	2.6
141	-0.526514	2.812957	8.150020	0.027972	2.2
142	-0.517562	3.812157	7.821814	0.027398	2.8
143	-0.509455	3.061199	8.065936	0.019841	2.6
144	-0.496533	2.641905	8.208987	0.013300	3.6
145	-0.496659	1.897081	8.476018	0.015914	2.3
146	-0.471405	2.775842	8.162743	0.022087	2.0
147	-0.476549	3.768302	7.835664	0.015087	2.3
148	-0.513604	4.767107	7.531931	0.023409	2.0
149	-0.489456	4.016188	7.758020	0.013374	1.9
150	-0.496858	5.016187	7.459820	0.024069	2.6
151	-0.500972	6.008520	7.185735	0.039083	2.1
152	-0.482410	7.008520	6.929180	0.025282	1.7
153	-0.512516	6.257562	7.120082	0.017027	2.1
154	-0.513031	5.506604	7.321801	0.031244	2.1
155	-0.506287	4.794997	7.523788	0.023307	2.6
156	-0.468156	4.044040	7.749392	0.019607	2.1
157	-0.523098	3.293094	7.988940	0.017413	2.5
158	-0.524327	2.542136	8.243775	0.025882	3.1
159	-0.516139	1.791203	8.515394	0.022736	1.9
160	-0.524050	1.040245	8.805532	0.034971	1.9
161	-0.511666	0.289287	9.116138	0.025645	2.3
162	-0.546660	0.000000	9.241718	0.025304	3.2
163	-0.529205	0.000000	9.241718	0.024123	1.8
164	-0.521969	0.000000	9.241718	0.025713	1.6
165	-0.530062	0.000000	9.241718	0.016438	1.6
166	-0.528752	0.000000	9.241718	0.017248	2.0
167	-0.523861	0.938445	8.846392	0.010927	1.8
168	-0.501320	0.513909	9.020958	0.014883	1.6
169	-0.541362	0.000000	9.241718	0.022900	1.6
170	-0.559840	0.000000	9.241718	0.032458	1.6
171	-0.526979	0.000000	9.241718	0.016312	1.9
172	-0.530253	0.000000	9.241718	0.024004	1.7
173	-0.527580	0.000000	9.241718	0.031205	1.7
174	-0.523274	0.000000	9.241718	0.020977	1.6
175	-0.508577	0.000000	9.241718	0.025073	1.6
176	-0.532082	0.000000	9.241718	0.020499	1.8
177	-0.514834	0.000000	9.241718	0.017469	2.2
178	-0.535444	0.999989	8.821644	0.023560	1.7
179	-0.508521	1.999989	8.438094	0.019936	1.6
180	-0.522463	1.957553	8.453692	0.022745	1.6
181	-0.543669	2.957553	8.100831	0.015878	1.7
182	-0.503756	2.588542	8.227557	0.027619	2.3
183	-0.550464	1.862589	8.488806	0.019355	1.8
184	-0.541250	2.862589	8.133069	0.022062	1.6
185	-0.544571	2.330326	8.318618	0.018320	1.6
186	-0.502199	3.330323	7.976716	0.028831	1.6
187	-0.554198	2.579365	8.230759	0.018165	2.0
188	-0.532808	3.563506	7.900993	0.015893	1.7
189	-0.521996	2.813071	8.149981	0.029145	1.7
190	-0.522465	2.062131	8.415358	0.019382	1.6
191	-0.523430	2.891066	8.123375	0.025818	1.6
192	-0.547378	2.140309	8.386927	0.040755	2.4
193	-0.509314	1.389351	8.668232	0.017740	1.7
194	-0.520705	1.230271	8.730262	0.020499	1.6
195	-0.512125	0.479313	9.035488	0.014107	1.6
196	-0.549360	0.000000	9.241718	0.020950	1.6
197	-0.500689	0.973653	8.832217	0.027682	2.1
198	-0.531238	0.222695	9.144742	0.026803	1.7
199	-0.530459	0.000000	9.241718	0.020073	1.6
200	-0.512683	0.991197	8.825171	0.029741	1.6
201	-0.540763	1.742979	8.533450	0.021378	1.6
202	-0.526376	2.614326	8.218574	0.016186	1.8
