1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.611465	0.000000	652.654691	0.004518	352.8
1	-0.603122	0.000000	652.654691	0.005763	2.3
2	-0.598440	0.000000	652.654691	0.004388	2.0
3	-0.584210	1.000000	622.988569	0.003431	2.0
4	-0.608495	0.109034	649.283561	0.004867	1.9
5	-0.593314	0.000000	652.654691	0.005066	1.9
6	-0.606918	0.995892	623.104907	0.004278	2.7
7	-0.594908	1.995887	596.008700	0.004208	2.1
8	-0.601108	1.519375	608.620293	0.004701	1.9
9	-0.586567	0.628408	633.691960	0.004748	1.9
10	-0.545753	1.381694	612.364223	0.005110	2.6
11	-0.587265	0.609876	634.235415	0.005776	2.0
12	-0.606469	0.078366	650.228218	0.004866	2.0
13	-0.592794	1.078366	620.777297	0.004359	1.9
14	-0.560532	2.073383	594.006884	0.003778	2.1
15	-0.609553	3.065975	569.507304	0.004097	2.5
16	-0.557880	2.175871	591.380076	0.004952	2.1
17	-0.585269	3.175558	566.925849	0.003920	1.9
18	-0.619014	4.158946	544.766412	0.003892	1.9
19	-0.587928	3.267979	564.766789	0.003895	2.6
20	-0.554353	4.267979	542.415702	0.005272	2.1
21	-0.619711	3.377012	562.240705	0.003861	2.0
22	-0.613014	2.492684	583.404969	0.004702	1.9
23	-0.592957	1.636610	605.468257	0.004083	1.9
24	-0.605021	2.534950	582.357240	0.003535	2.3
25	-0.610719	3.518166	559.003829	0.005282	2.1
26	-0.612291	2.628601	580.049084	0.004018	1.9
27	-0.578710	3.628601	556.497236	0.004362	1.9
28	-0.562824	4.612146	535.126916	0.003552	2.4
29	-0.595136	4.557572	536.269583	0.005055	2.1
30	-0.616464	3.667642	555.616490	0.004664	2.0
31	-0.599033	4.667638	533.969995	0.004587	1.9
32	-0.599093	3.776671	553.171501	0.004172	1.9
33	-0.577481	4.766023	531.931081	0.003815	2.1
34	-0.632702	3.877059	550.939267	0.005347	2.6
35	-0.585325	4.877059	529.648626	0.004532	2.0
36	-0.593411	5.877059	509.942281	0.004406	1.9
37	-0.590475	4.986092	527.426310	0.003914	1.9
38	-0.577575	4.355689	540.539387	0.004574	2.3
39	-0.648165	3.464725	560.224927	0.004154	2.4
40	-0.569202	3.030106	570.357385	0.004001	2.0
41	-0.576903	4.026309	547.653619	0.005246	2.0
42	-0.595522	5.026308	526.611319	0.004382	2.0
43	-0.637192	6.026308	507.126182	0.005293	2.1
44	-0.581141	7.026308	489.031534	0.004026	2.6
45	-0.568198	6.135345	505.088413	0.004394	2.0
46	-0.617094	5.244379	522.235588	0.003749	2.0
47	-0.601399	4.353412	540.587931	0.004182	2.0
48	-0.603760	3.462445	560.277126	0.004393	2.1
49	-0.588238	2.573334	581.408993	0.004442	2.6
50	-0.640619	1.682381	604.246477	0.005511	2.1
51	-0.606470	2.427479	585.028737	0.004137	1.9
52	-0.600839	1.540351	608.053899	0.004238	2.9
53	-0.629941	2.540351	582.223617	0.004215	2.2
54	-0.580295	1.649385	605.126750	0.004640	2.4
55	-0.603443	0.758420	629.905516	0.004170	2.1
56	-0.642581	1.758420	602.227605	0.005511	2.0
57	-0.604101	2.758420	576.879639	0.004388	2.0
58	-0.598681	1.867498	599.354967	0.003473	2.2
59	-0.595038	0.976558	623.653096	0.003616	1.9
60	-0.616890	1.976056	596.523106	0.004371	2.0
61	-0.588460	1.085173	620.585973	0.004542	2.0
62	-0.619096	0.194341	646.670192	0.004279	2.5
63	-0.605759	1.194284	617.535060	0.003893	2.2
64	-0.622575	2.184538	591.159002	0.003961	2.0
65	-0.606917	3.184538	566.715335	0.005441	1.9
66	-0.615795	2.293571	588.391894	0.004663	1.9
67	-0.623416	3.293571	564.171828	0.005020	2.3
68	-0.557182	2.402605	585.650562	0.003950	2.2
69	-0.610777	3.402605	561.651052	0.004734	2.4
70	-0.625499	2.512542	582.912231	0.003715	2.0
71	-0.582504	3.512542	559.132070	0.005661	2.3
72	-0.649392	4.465327	538.212155	0.004998	2.3
73	-0.632863	5.456905	518.040515	0.006260	2.0
74	-0.645972	6.456903	499.173150	0.003805	1.9
75	-0.587296	6.283305	502.349274	0.004486	1.9
76	-0.590521	6.902595	491.199771	0.004557	2.3
77	-0.606525	6.014214	507.353213	0.005992	2.0
78	-0.569473	7.014214	489.242649	0.004565	2.0
79	-0.622463	8.014214	472.380478	0.004970	2.0
80	-0.592522	7.123249	487.345851	0.003869	2.1
81	-0.601761	6.295599	502.123016	0.004755	2.4
82	-0.604274	7.295594	484.377480	0.005132	2.0
83	-0.621849	8.295594	467.843339	0.003494	2.1
84	-0.603433	9.051161	456.080493	0.005067	1.9
85	-0.648281	8.786742	460.129163	0.003997	2.6
86	-0.589533	8.710257	461.313701	0.003629	2.1
87	-0.628033	9.690738	446.576045	0.003725	2.0
88	-0.593309	9.583906	448.135979	0.006051	2.3
89	-0.582997	10.444717	435.868089	0.003271	2.2
90	-0.612806	9.555136	448.557925	0.005780	2.3
91	-0.576452	10.555136	434.342872	0.005104	2.1
92	-0.619314	11.555136	421.001110	0.003822	2.0
93	-0.618042	10.664184	432.847051	0.004604	1.9
94	-0.604964	9.909077	443.421482	0.003907	2.5
